# Ecoflex30, bending actuator, displacement test.
# wall=7mm, 5 chambers, chamber=[8x8x2]mm, tube=[2,2,7]mm.
# Pressure (N/mm2), Bending Angle (degrees)
0.015094,1.6111
0.015101,1.6111
0.015109,1.6111
0.015116,1.6111
0.015123,1.6111
0.01513,1.6111
0.015138,1.5994
0.015145,1.6111
0.015152,1.6111
0.015159,1.6111
0.015167,1.5994
0.015174,1.5994
0.015181,1.5994
0.015188,1.5994
0.015196,1.5994
0.015203,1.5994
0.01521,1.5994
0.015217,1.5994
0.015225,1.5994
0.015232,1.6111
0.015239,1.6111
0.015246,1.6111
0.015254,1.5994
0.015261,1.6111
0.015268,1.6111
0.015275,1.5994
0.015283,1.5994
0.01529,1.6111
0.015297,1.6111
0.015304,1.6111
0.015312,1.6111
0.015319,1.6111
0.015326,1.5994
0.015333,1.6111
0.015341,1.6111
0.015348,1.6111
0.015355,1.6111
0.015362,1.6111
0.01537,1.6111
0.015377,1.6111
0.015384,1.6111
0.015391,1.6111
0.015399,1.6111
0.015406,1.6111
0.015413,1.6111
0.01542,1.5994
0.015428,1.6111
0.015435,1.6111
0.015442,1.6111
0.015449,1.6111
0.015457,1.711
0.015464,1.6111
0.015471,1.6111
0.015478,1.6111
0.015486,1.711
0.015493,1.711
0.0155,1.711
0.015507,1.711
0.015514,1.711
0.015522,1.711
0.015529,1.711
0.015536,1.711
0.015543,1.699
0.015551,1.711
0.015558,1.699
0.015565,1.699
0.015572,1.699
0.01558,1.5994
0.015587,1.699
0.015594,1.5994
0.015601,1.699
0.015609,1.699
0.015616,1.711
0.015623,1.711
0.01563,1.711
0.015638,1.711
0.015645,1.711
0.015652,1.711
0.015659,1.699
0.015667,1.711
0.015674,1.699
0.015681,1.711
0.015688,1.711
0.015696,1.711
0.015703,1.711
0.01571,1.711
0.015717,1.711
0.015725,1.699
0.015732,1.711
0.015739,1.699
0.015746,1.711
0.015754,1.711
0.015761,1.711
0.015768,1.711
0.015775,1.699
0.015783,1.711
0.01579,1.711
0.015797,1.711
0.015804,1.711
0.015812,1.699
0.015819,1.711
0.015826,1.711
0.015833,1.711
0.015841,1.711
0.015848,1.711
0.015855,1.711
0.015862,1.711
0.01587,1.711
0.015877,1.711
0.015884,1.711
0.015891,1.711
0.015899,1.711
0.015906,1.711
0.015913,1.711
0.01592,1.711
0.015928,1.711
0.015935,1.711
0.015942,1.711
0.015949,1.711
0.015957,1.711
0.015964,1.711
0.015971,1.711
0.015978,1.711
0.015986,1.711
0.015993,1.8107
0.016,1.711
0.016007,1.711
0.016014,1.8107
0.016022,1.711
0.016029,1.8107
0.016036,1.8107
0.016043,1.8107
0.016051,1.8107
0.016058,1.8107
0.016065,1.8107
0.016072,1.8107
0.01608,1.7986
0.016087,1.7986
0.016094,1.8107
0.016101,1.7986
0.016109,1.8107
0.016116,1.711
0.016123,1.8107
0.01613,1.8107
0.016138,1.8107
0.016145,1.8107
0.016152,1.8107
0.016159,1.8107
0.016167,1.8107
0.016174,1.8107
0.016181,1.8107
0.016188,1.8107
0.016196,1.8107
0.016203,1.8107
0.01621,1.8107
0.016217,1.8107
0.016225,1.8107
0.016232,1.8107
0.016239,1.8107
0.016246,1.8107
0.016254,1.8107
0.016261,1.8107
0.016268,1.8107
0.016275,1.8107
0.016283,1.8107
0.01629,1.8107
0.016297,1.8107
0.016304,1.8107
0.016312,1.8107
0.016319,1.8107
0.016326,1.8107
0.016333,1.8107
0.016341,1.8107
0.016348,1.8107
0.016355,1.8107
0.016362,1.8107
0.01637,1.8107
0.016377,1.8107
0.016384,1.8107
0.016391,1.8107
0.016399,1.8107
0.016406,1.8107
0.016413,1.8107
0.01642,1.8107
