# Material: Ecoflex 30
# Mullin's Effect: Removed at 40KPa
# Test sample: 1 (8x8w7mm_5 chambers with extra wall length at one end to clamp the sample)
# Time (s), Force (N), Pressure (N/mm2)
3.279,0.061384,0
3.285,0.062942,0
3.294,0.055808,0
3.306,0.05799,0
3.312,0.058595,0
3.324,0.054965,0
3.336,0.057619,0
3.346,0.056576,0
3.357,0.060076,0
3.369,0.062929,0
3.381,0.063637,0
3.391,0.059586,0
3.398,0.062948,0
3.407,0.063994,0
3.419,0.060914,0
3.425,0.063012,0
3.437,0.059449,0
3.448,0.06213,0
3.459,0.063324,0
3.47,0.061544,0
3.482,0.059742,0
3.492,0.061992,0
3.499,0.05664,0
3.508,0.059954,0
3.52,0.060344,0
3.525,0.064868,0
3.537,0.0584,0
3.549,0.062541,0
3.561,0.063046,0
3.571,0.06167,0
3.577,0.056809,0
3.586,0.0619,0
3.592,0.059289,0
3.602,0.059458,0
3.608,0.058729,0
3.617,0.064418,0
3.623,0.063948,0
3.633,0.058877,0
3.639,0.056788,0
3.648,0.063905,0
3.654,0.064188,0
3.664,0.05819,0
3.67,0.056797,0
3.679,0.060164,0
3.685,0.064327,0
3.694,0.05773,0
3.706,0.057348,0
3.712,0.058069,0
3.724,0.057502,0
3.731,0.058938,0
3.74,0.061115,0
3.746,0.065375,0
3.755,0.060583,0
3.761,0.057677,0
3.77,0.059033,0
3.776,0.061537,0
3.785,0.05574,0
3.791,0.058332,0
3.801,0.061448,0
3.807,0.061809,0
3.817,0.057761,0
3.823,0.061065,0
3.833,0.061142,0
3.839,0.058374,0
3.849,0.064851,0
3.855,0.061618,0
3.864,0.06148,0
3.87,0.057296,0
3.88,0.060032,0
3.886,0.065985,0
3.895,0.058176,0
3.901,0.059395,0
3.91,0.063288,0
3.923,0.060919,0
3.929,0.058303,0
3.941,0.06176,0
3.948,0.059688,0
3.957,0.062274,0
3.969,0.058275,0
3.975,0.061191,0
3.987,0.055925,0
3.998,0.063408,0
4.004,0.065718,0
4.014,0.056454,0
4.02,0.057743,0
4.03,0.063839,0
4.036,0.060371,0
4.045,0.063362,0
4.051,0.058771,0
4.059,0.060086,0
4.066,0.061176,0
4.075,0.059325,0
4.081,0.058962,0
4.09,0.064196,0
4.102,0.063528,0
4.108,0.06118,0
4.12,0.062428,0
4.131,0.06392,0
4.142,0.05934,0
4.153,0.060942,0
4.164,0.056881,0
4.175,0.057319,0
4.186,0.060349,0
4.198,0.058683,0
4.208,0.061093,0
4.214,0.066864,0
4.223,0.05947,0
4.229,0.05866,0
4.238,0.060277,0
4.244,0.062332,0
4.253,0.056338,0
4.259,0.05822,0
4.269,0.062281,0
4.275,0.059745,0
4.285,0.058481,0
4.291,0.059545,0
4.301,0.060759,0
4.307,0.058444,0
4.317,0.06103,0
4.323,0.061022,0
4.333,0.059148,0
4.339,0.056757,0
4.348,0.060004,0
4.354,0.062666,0
4.363,0.060717,0
4.369,0.05764,0
