# Material: Ecoflex 30
# Mullin's Effect: Removed at 40KPa
# Test sample: 1 (8x8w7mm_7 chambers with extra wall length at one end to clamp the sample)
# Time (s), Force (N), Pressure (N/mm2) 
2.869,0.016759,0.01
2.878,0.041283,0.01
2.884,0.014654,0.01
2.893,0.012133,0.01
2.899,0.042728,0.01
2.908,0.016125,0.01
2.914,0.040867,0.01
2.923,0.042043,0.01
2.929,0.018663,0.01
2.938,0.040486,0.01
2.944,0.017194,0.01
2.953,0.016597,0.01
2.958,0.035698,0.01
2.968,0.013421,0.01
2.973,0.033391,0.01
2.983,0.039602,0.01
2.994,0.017126,0.01
3.005,0.034596,0
3.016,0.018137,0
3.026,0.023518,0
3.036,0.03212,0
3.047,0.031532,0
3.058,0.02575,0
3.069,0.01917,0
3.08,0.023375,0
3.091,0.032733,0
3.102,0.017602,0
3.112,0.028041,0
3.122,0.022194,0
3.133,0.029509,0
3.144,0.013818,0
3.154,0.010312,0
3.166,0.00979,0
3.178,0.002778,0
3.188,0.018817,0
3.194,0.017559,0
3.203,0.010467,0
3.209,0.013217,0
3.218,0.025523,0
3.224,0.017595,0
3.234,0.022745,0
3.24,0.008811,0
3.249,0.010583,0
3.255,0.027249,0
3.264,0.013401,0
3.269,0.016096,0
3.278,0.021933,0
3.284,0.023268,0
3.294,0.020968,0
3.299,0.015724,0
3.308,0.022999,0
3.315,0.023241,0
3.323,0.007913,0
3.329,0.017871,0
3.338,0.021854,0
3.344,0.016207,0
3.353,0.017249,0
3.359,0.007948,0
3.368,0.023221,0
3.374,0.009059,0
3.384,0.013744,0
3.39,0.013458,0
3.402,0.006704,0
3.415,0.015577,0
3.422,0.005643,0
3.436,0.023812,0
3.451,0.015161,0
3.462,0.022347,0
3.477,0.018239,0
3.491,0.018059,0
3.504,0.020575,0
3.517,0.020005,0
3.531,0.012511,0
3.538,0.022873,0
3.549,0.026692,0
3.562,0.030411,0
3.569,0.014876,0
3.58,0.024361,0
3.593,0.029607,0
3.6,0.015302,0
3.613,0.028032,0
3.625,0.020544,0
3.633,0.014491,0
3.644,0.021754,0
3.655,0.011218,0
3.665,0.008515,0
3.676,0.010219,0
3.687,0.016372,0
3.698,0.01294,0
3.708,0.029957,0
3.715,0.02258,0
3.723,0.021933,0
3.729,0.020383,0
3.738,0.024144,0
3.744,0.023155,0
3.753,0.018177,0
3.76,0.019449,0
3.768,0.023072,0
3.774,0.014125,0
3.784,0.014531,0
3.79,0.012601,0
3.799,0.025852,0
3.805,0.02129,0
3.815,0.008452,0
3.821,0.008655,0
3.83,0.022143,0
3.836,0.023011,0
3.846,0.009592,0
3.852,0.015664,0
3.861,0.0079,0
3.867,0.023026,0
3.875,0.014774,0
3.882,0.008635,0
3.89,0.020065,0
3.896,0.025215,0
3.905,0.010968,0
3.911,0.010161,0
3.92,0.02394,0
3.926,0.024767,0
3.935,0.01443,0
3.941,0.009936,0
3.951,0.023341,0
3.957,0.026373,0
3.966,0.017717,0
3.972,0.014342,0
3.98,0.009992,0
3.986,0.02496,0
3.995,0.009623,0
4.001,0.012895,0
4.011,0.027344,0
4.017,0.025001,0
4.025,0.016021,0
4.032,0.010404,0
4.04,0.010789,0
4.046,0.02419,0
4.055,0.010556,0
4.061,0.008744,0
4.07,0.029154,0
4.075,0.02529,0
4.085,0.00886,0
4.09,0.012071,0
4.101,0.022436,0
4.111,0.030271,0
4.122,0.024959,0
4.133,0.019836,0
4.143,0.018599,0
4.154,0.018268,0
4.165,0.016328,0
4.175,0.010454,0
4.186,0.010356,0
4.197,0.012743,0
4.206,0.014599,0
4.217,0.01644,0
4.228,0.015393,0
4.239,0.027075,0
4.25,0.030594,0
4.262,0.025978,0
4.272,0.023705,0
4.283,0.02576,0
4.294,0.020603,0
4.3,0.013291,0
4.31,0.025982,0
4.321,0.029642,0
4.332,0.032463,0
4.342,0.023428,0
4.353,0.014375,0
4.364,0.02603,0
4.375,0.012954,0
4.386,0.012354,0
4.397,0.01553,0
4.407,0.015409,0
4.413,0.014518,0
4.422,0.015903,0
4.428,0.02113,0
4.437,0.029891,0
4.443,0.016555,0
4.452,0.018525,0
4.458,0.01875,0
4.467,0.027508,0
4.473,0.016184,0
4.484,0.018292,0
4.495,0.014472,0
4.505,0.013571,0
4.512,0.011832,0
4.52,0.010618,0
4.526,0.025576,0
4.535,0.019259,0
4.541,0.013129,0
4.552,0.025778,0
4.558,0.023952,0
4.568,0.026233,0
4.574,0.032317,0
4.583,0.013867,0
4.589,0.023354,0
4.599,0.023488,0
4.605,0.028011,0
4.613,0.023039,0
4.619,0.019107,0
4.629,0.033138,0
4.635,0.029324,0
4.644,0.031395,0
4.65,0.011636,0
4.659,0.022951,0
4.671,0.02476,0
4.677,0.026419,0
4.688,0.018781,0
4.7,0.029239,0
4.713,0.026041,0
4.722,0.017164,0
4.728,0.021895,0
4.737,0.026001,0
4.743,0.01652,0
4.752,0.024199,0
4.758,0.026541,0
4.768,0.026131,0
4.774,0.026721,0
4.783,0.01182,0
4.789,0.026191,0
4.798,0.024941,0
4.804,0.024913,0
4.813,0.014001,0
4.818,0.022226,0
4.829,0.022885,0
4.834,0.03063,0
4.846,0.012048,0
4.857,0.019926,0
4.868,0.026162,0
4.894,0.017971,0
4.9,0.009692,0
4.908,0.022933,0
4.915,0.031125,0
4.924,0.013128,0
4.931,0.011061,0
4.939,0.017493,0
4.945,0.035059,0
4.954,0.011298,0
4.96,0.013123,0
4.969,0.024939,0
4.974,0.029145,0
4.984,0.012598,0
5.015,0.031048,0
5.02,0.013993,0
5.03,0.028645,0
5.036,0.025913,0
5.047,0.015191,0
5.057,0.014306,0
5.063,0.018637,0
5.072,0.020099,0
5.078,0.021652,0
5.087,0.029836,0
5.092,0.017984,0
5.102,0.01805,0
5.108,0.019066,0
5.137,0.024765,0
5.143,0.017561,0
5.153,0.017303,0
5.16,0.015668,0
5.168,0.021622,0
5.174,0.029108,0
5.184,0.011045,0
5.189,0.018903,0
5.2,0.025501,0
5.206,0.025547,0
5.216,0.018413,0
5.221,0.013,0
5.232,0.013985,0
5.263,0.016558,0
5.269,0.014866,0
5.281,0.018155,0
5.296,0.021041,0
5.306,0.015287,0
5.321,0.017806,0
5.329,0.021468,0
5.34,0.025294,0
5.354,0.028898,0
5.362,0.013816,0
5.373,0.019376,0
5.38,0.013937,0
5.391,0.013648,0
5.405,0.021792,0
5.412,0.02391,0
5.423,0.017263,0
5.433,0.018872,0
5.444,0.019737,0
5.455,0.015,0
5.466,0.012818,0
5.471,0.018914,0
5.482,0.03055,0
5.493,0.019885,0
5.504,0.01635,0
5.515,0.012704,0
5.525,0.011731,0
5.531,0.017092,0
5.54,0.022835,0
5.546,0.029762,0
5.555,0.023666,0
5.561,0.012505,0
5.57,0.031111,0
5.576,0.028175,0
5.585,0.019399,0
5.591,0.0128,0
5.601,0.022775,0
5.607,0.028547,0
5.616,0.026051,0
5.622,0.019897,0
5.632,0.023871,0
5.638,0.012349,0
5.647,0.033168,0
5.653,0.01805,0
5.662,0.018889,0
5.668,0.015327,0
5.677,0.023972,0
5.683,0.018967,0
5.691,0.026613,0
5.698,0.021028,0
5.706,0.025979,0
5.713,0.020419,0
5.721,0.017565,0
5.727,0.024467,0
5.736,0.019052,0
5.742,0.018172,0
5.751,0.022458,0
5.757,0.021201,0
5.767,0.01798,0
5.773,0.018006,0
5.782,0.018255,0
5.788,0.018276,0
5.798,0.027399,0
5.804,0.025287,0
5.813,0.018523,0
5.819,0.020879,0
5.828,0.029323,0
5.834,0.025706,0
5.844,0.013526,0
5.85,0.012667,0
5.858,0.024715,0
5.865,0.031015,0
5.873,0.022671,0
5.879,0.017533,0
5.888,0.037932,0
5.894,0.027732,0
5.903,0.014459,0
5.909,0.022403,0
5.918,0.024122,0
5.924,0.030943,0
5.933,0.014399,0
5.939,0.017727,0
5.949,0.031044,0
5.955,0.028855,0
5.963,0.0285,0
5.969,0.018996,0
5.978,0.028407,0
5.984,0.030695,0
5.993,0.020772,0
5.999,0.019187,0
0.008,0.030996,0.01
0.015,0.026793,0.01
0.023,0.027831,0.01
0.029,0.018725,0.01
0.038,0.027666,0.01
0.044,0.032768,0.01
0.053,0.005736,0.01
0.059,0.007231,0.01
0.068,0.021291,0.01
0.074,0.023634,0.01
0.084,0.008577,0.01
0.09,0.019799,0.01
0.099,0.023929,0.01
0.105,0.018081,0.01
0.114,0.059008,0.01
0.12,0.054425,0.01
0.129,0.053743,0.01
0.135,0.070121,0.01
0.144,0.027151,0.01
0.15,0.023307,0.01
0.158,0.039197,0.01
0.164,0.027676,0.01
0.174,0.034571,0.01
0.185,0.029731,0.01
0.196,0.033306,0.01
0.207,0.026857,0.01
0.218,0.051573,0.01
0.246,0.023011,0.01
0.251,0.040167,0.01
0.262,0.049108,0.01
0.268,0.026019,0.01
0.277,0.052439,0.01
0.283,0.025179,0.01
0.291,0.040664,0.01
0.297,0.047325,0.01
0.307,0.025975,0.01
0.318,0.050338,0.01
0.329,0.021998,0.01
0.34,0.050082,0.01
0.369,0.028711,0.01
